Q6P1D7	SLX4
26580	Aut2p::,Apg16p::,APG12::,npc1::,Aminopeptidase I::,AIF::,Atg4A::,PS1::,TLN::,crmA::,SipB::,β2::,DAPK::,SUMO‐3::,dRagA::,TNFα::,p38IP::,FYCO1::,Nix::,α1S::,adipose differentiation-related protein::,Fis1::,GABARAP::,Atg‐16::,drpr::,GPi::,HMGB1::,BID::,MRLC::,SIRT1::,wts::,p50::,Pcf11::,Cdc2::,ATPase::,Npr1::,srtA::,TAB3::,TAB2::,mec‐4::,proopiomelanocortin::,POMC::,ULK1::,Rap2b::,α-hemolysin::,Atg36::,Ret::,Bim::,myosin VI::,Tom1::,4EBP1::,TMEM59::,CD16::,Epg5::,VDAC1::,sqst-1::,EPG-7::,epg-7::,W07G4.5::,Ubqln4::,Rab12::,Atg30::,AIN‐1::,PrP::,Uba1::,ACAA1::,catalase::,WASH::,MiroS::,Atg16l1::,ERK2::,Hsp78::,H3R::,Axin2::,ERT2::,ACS2::,Cx43::,Eps15::,Ref(2)P::,tkl2::,Atg16L1::,WIPI2a::,REST::,Atg19::,TFEB::,lap::,LAMP-2A::,Rcan1::,ddm1::,secretagogin::,GRI::,Bax::,Bak::,MET3::,RBM14::,Mgat3::,CX3CL1::,Cx3cr1::,atntr1::,Coi12p::,Twi1p::,FXR::,Hspb1::,AMPKα1::,HSF1::,UBE2V1::,UBE2D1::,TRAF6::,miR-27a::,SHP1::,Yip1A::,CnA::,NFATc2::,NOD2::,amiA::,Phb2::,TKS5::,AGO6::,Dgcr8::,PKM2::,PTB::,Gnd1::,TFG::,Rubicon::,α-spectrin::,COL7A1::,KCNA5::,BDCA2::,TRA‐1‐81::,miR-210::,Asm::,sst1::,ADAP::,PD-1::,Tp53inp1::,BNIP3L::,Nurr1::,SOD1::,Pparβ/δ::,CCL2::,titin::,TTN::,Coq9::,Snc1::,vps21::,Sec61::,prb1::,DEC-205::,Mrc1::,MPO::,Fas1::,pep4::,CycE::,vitronectin::,LXRα::,p48::,KRIT1::,YAP::,NKG2D::,Siglec‐5::,Mapt::,gephyrin::,strophin p::,SERK1::,2d2::,F4/80::,CHCHD10::,SLFN11::,ApoE::,HSP18.2::,Smac::,PARD6G::,ABL1::,SDHA::,SDHB::,CD45::,CTCF::,FoxA2::,KIF1::,APEX1::,Lyzs::,p38γ::,Gr-1::,KRAS::,miR-10b::,CASP1::,Stat1::,LukE::,LukS-PV::,chm::,MKKK7::,pus1::,snR81::,ERK1::,ELF3::,KLF5::,FoxM1::,LIF::,Stat3::,Pou5f1::,53BP1::,FIP3::,Calnexin::,Sld3::,ChAT::,NB-3::,CHL1::,NCT::,Fbxl17::,munc18-1::,Nemo::,Rab34::,RILP::,H2A::,ICP27::,STING::,CLU::,p-selectin::,SEPT7::,uPAR::,VN::,PKR::,IRF3::,RAB2A::,miR-122::,HuR::,GPAT4::,CXCR5::,Btla::,USP19::,Beclin-1::,Nde1::,ERp57::,elt-3::,FUS::,GSDMD::,cdkb1;1::,cycb1;1::,FBW7α::,Sox9::,miR-449a::,MAPKKK5::,sst::,igfbp1a::,bactin::,NTR::,MET::,ATM::,Mettl22::,MALT1::,A20::,Rec8::,Stag3::,REC8::,IL-2Rα::,UBQLN4::,PCNA::,Ift88::,Pkd2::,TRPML1::,Epo::,fft2::,OCT4
497407	Tub1p::,AIF::,DmATG1::,dTOR::,Atg16L1::,cholera toxin::,Cdc11::,RagB::,CD16::,ACS2::,Atg34::,invG::,Spns1::,CALM::,H-2Db::,Bcl-xL::,CDC20::,Dusp5::,cac::,Spi::,Hmg1::,RAP1::,LXRα::,KLHL3::,MICA::,swi6::,DTX::,ERK5::,HRas::,OTUB1::,Msd1::,CS::,citrate synthase::,BAG6::,VAPB::,Chs5
Q9JIS7	Cav1.4
14463	lamp2a::,APP::,PS1::,bec-1::,Jumpy::,TIGAR::,BCL‐2::,dBruce::,hVps15::,Sqa::,lgg-1::,Casp7::,calnexin::,DFCP1::,mlh-1::,PSD-95::,acs1::,Lon::,spns1::,centrin::,GNL2::,AGBE::,Syk::,Phb2::,ACSL3::,Nup49::,CD20::,Ccno::,ALDH1A1::,lysozyme::,Coq9::,Snc1::,ypt1-1::,Hmg1::,γ-H2AX::,PI3K::,are1::,CCL6::,KLHL3::,PHD1::,E6::,Mef2C::,H3K27ac::,YAP::,OTUB1::,RSRC1::,cym1::,VMD2::,IFNβ::,Cas9::,TRPV2::,ICAT::,Lrig1::,Lrig2::,Rnaseh2b::,cGAS::,HIF1α::,RNAseHI::,α11.2::,Nap1::,SEPT7::,Ams1::,PD1::,dop-1::,SOX9::,FBW7α::,HUWE1::,EpoR::,PIK3CA
A8JCJ2|Q9FPW0	Ift88::,IFT88
Q19537	RPA-1
P27544	CerS1
P31396	DHR3
P29613	z:
B3Y6B7	CD14
P01590	DHPR::,SIRT1::,Atg16L1::,H3R::,Hace1::,ACS2::,TDP43::,TFEB::,L2A::,Inn1::,Rac1::,APOE::,CCA1::,TNFsf4::,CD25::,LXR::,Ttn::,Ape1::,p48::,PUMA::,VE-PTP::,IL-6::,ERG::,ICAM-1::,EGOT::,ABH1::,DIS3::,BIK1::,HUWE1
55669	Mfn1::,MFN1
A0A0H4B8A7	Aut2p::,p55::,COPI::,FoxO3a::,DRP1::,drpr::,UVRAG::,Laminin γ−1::,Zwint‐1::,LC3B::,ZW10::,PlcA::,S6K1::,LC3β::,FAM21::,LAMP-1::,KSHV‐TK::,CD44::,rpb1::,Phb2::,GOT2::,COQ7::,CENP-F::,NPC2::,C7::,PLCβ1::,CCM1::,CD25::,snR81::,IFT54::,CDC42BPA::,Ku70::,MCU::,Smad3::,FUS::,GSDMD::,cycb1;2::,SOX9::,H2AX::,MALT1::,Chs3::,GASZ::,Aurora A
Q7KN85	ATPCL::,ATPcitrate lyase::,atpcl
Q9UL25	Rab21
Q96FF9	sororin::,Sororin
35246	Ref(2)P::,ref(2)P::,Ref(2)p
855159	pom152
Q9UKX2	DRP-1::,SQSTM1::,FYCO1::,BAX::,nNOS::,Ret::,NS5A::,WIPI1::,spiA::,Centrobin::,myosin II::,KSHV‐TK::,SHP1::,LXRα::,Tex11::,CUL3::,PLCβ1::,Morc3::,PP1::,Lyzs::,ATG16L1::,FUNDC1::,NB-3::,Esrra::,SYCE1::,ORP8::,PTPIP51::,EpoR::,Prox1a
P34308	calpain
O70445	NCT::,Jumpy::,LAMTOR2::,CCL2::,HACE1::,RBM14::,Wnt4::,NRBF2::,CD123::,GOT2::,C7::,CCM1::,Lyzs::,Pgr::,Lrig2::,KRAS::,IL10::,eIF-2a::,are1::,USP5::,γ-tubulin::,ORP5
5727	SipD::,β′-COP::,Jumpy::,p38α::,drpr::,caspase‐3::,ARL8B::,RAB‐11::,Ptch1::,CiCell::,Rab12::,Adβ3::,sma‐3::,atg‐7::,cay1::,BACE1::,GC‐G::,F4/80::,PTX::,casein kinase Iε::,DTX::,C3b::,AID::,β2AR::,FGFR1::,Geminin::,insulin::,EpoR::,miR-10b::,PTCH1
P33379	Actin::,actin::,actA::,ActA
999	e-cadherin::,E-cadherin::,Cdh1::,E‐cadherin::,CDH1
P49841|P49840	GSK3
P21841|P50404|P35242|P50405	SPC
41071	dRagA::,RagA
P61021|Q9CQD1|P35278	Rab5::,rab5
Q62388	ATM
P48754	TGN38::,Vps24::,APP::,BI‐1::,PrP::,CAVII::,GlyS::,LC3β::,β‐catenin::,ACS2::,rpl25::,OFD1::,REST::,PTEN::,Bax::,Ctns::,LAMP2A::,Cx3cr1::,IL-33::,rpb1::,UBE2D3::,Brca1::,BDCA2::,Ccno::,PCNA::,DER::,TLR8::,ypt1-1::,Kcnq1::,SYCP2::,aconitase::,BRCA1::,AREG::,Siglec‐14::,PIP5K1A::,CTCF::,eIF2a::,DCLK1::,TFE3::,YAP::,OTUB1::,miR-10b::,VEGF-A::,HlgA::,LIF::,CXCL1::,Ubc9::,Ubp6::,ERK2::,db::,SPOP::,OSM::,Foxp3::,Arl13b::,cycb1;1::,DIS3L2::,CASP3::,UBQLN4::,VAPB::,SIRT5::,EpCAM
P38720	Gnd1
44856	ru
25054	TrkB
P24468	COUP-TFII
Q9UM54	myosin-VI::,myosin VI::,Myosin VI
Q9HC77	CPAP
P07901|P11499	Hsp90::,HSP90
P01834|P06312	light chain kappa
P42574	Aut7p::,Apg12p::,apg16::,apg10::,ScAtg8::,GATE‐16::,Atg4A::,TLN::,caspase-3::,bec-1::,β2::,caspase 3::,DOR::,BIK::,Lap‐1::,htt::,drpr::,Rb::,VAMP7::,caspases 3::,caspase‐3::,alkaline phosphatase::,sqh::,red1::,Red1::,inlK::,eIF2::,BI‐1::,TAK1::,deg‐3::,ACTH::,p17::,Atg36::,LC8::,pho8::,ALP::,protein disulphide isomerase::,sgk1::,ATG-9::,Atg32::,gba::,Casp3::,survivin::,TBC1D7::,PPAR-alpha::,GlyS::,EGF::,MIC1::,BEC-1::,ATG16L::,SQSTM1::,β‐catenin::,ACS1::,Rpl25::,Atg19::,Ref(2)P::,Dcp-1::,caspase3::,ATG16L1::,IL-8::,AGO6::,GRI::,Bax::,Caspase 3::,Aβ::,Dup::,CASPASE 3::,PCDH1::,leu2::,FXR::,HSF1::,TRF2::,Rag2::,NFATc2::,Phb2::,EN::,PrP::,UGT87A2::,LGR5::,LRP6::,Axin2::,Wnt4::,PTB::,Vps15::,COUP-TFI::,FMR1::,dfmr1::,CXCR4::,LXR::,miR-210::,ISCU1/2::,Asm::,Caspase-3::,PD-1::,granzyme B::,P58IPK::,miR-203::,TH::,IRAK1::,CDK4::,Coq9::,ypt1-1::,tgl4::,Pcbp4::,αSma::,KLHL3::,CUL1::,casp3::,VEGF::,PECAM1::,E6::,CD56::,MICA::,Siglec‐14::,TNFα::,CASP3::,CD11c::,GR1::,BMP6::,SMAD1::,KLF4::,abo1::,ral::,sec3::,BRPF3::,ABL1::,CD25::,TRAPPC4::,GS::,Tcf7l1::,KIF21A::,TfnR::,CHOP::,Lyzs::,OTUB1::,miR-10b::,PCM1::,LukS-PV::,CS::,snr81::,snR81::,IL-12p35::,KLF5::,ICAT::,Mpl::,Inhibin A::,Lrig1::,cGas::,eIF4A::,MCP::,Cav1.4::,I-SceI::,Mdy2::,Brn3a::,GADD45β::,α11.2::,MVIIC::,Nap1::,WRNIP1::,Apoe::,miR-150::,TGFβ::,uPA::,EGOT::,MT1-MMP::,Furin::,HuR::,Pou2af1::,USP13::,USP19::,Tbk1::,SOX9::,ErbB4::,Mef2::,pcsk1::,ins::,ARSA::,casp-3::,Atp5g3::,nat4::,TNF::,Stag3::,UBQLN4::,SRP54::,ORP5::,CD34::,Sept7::,G6PD::,Epo::,cyclinD2::,SYCP1
P15289	ARSA
12151	BMI1
Q9Z2D1	MTMR2
20273	mSCN8A
P78325	MS2
Q9TZQ3	PGL-1
Q60829	DARPP-32
Q9P2W9	syntaxin 18
Q9VH01	dBruce
132612	Adad1
P0A074	HlgA
Q8R3E3	WIPI1::,WIPI‐1::,WIPI-1
P11142	Apg16p::,hsc70::,TLN::,PS1::,daf-15::,Hsc70::,Jumpy::,DHR3::,HMGB1::,eis::,HSC70::,BAX::,spaghetti‐squash::,GMR::,crs1+::,TAK1::,RM45::,UNC‐116::,CK2α::,VDAC1::,TFEB::,Atg16L1::,KFERQ::,Ripk2::,NCAM::,ATM::,Adβ3::,GlyS::,EGF::,MIC1::,CLIC4::,LGG‐1::,vps‐34::,ERdj3::,RBM14::,Dgcr8::,Terc::,UFD-2::,LSD1::,DIAP1::,COUP-TFI::,CCR9::,TRA‐1‐81::,Asm::,4E-BP1::,VDR::,TNF::,Snc1::,ypt1-1::,XRCC4::,TNFR1::,Tat::,LXRα::,PHD1::,Vegfc::,MICA::,sec5::,Fkh::,notch::,SLFN11::,Oas1::,Cd22::,Eomes::,HDAC6::,Col1a1::,TESK1::,PAQR3::,OTUB1::,MBNL1::,STAT2::,Stat1::,Prp5::,IL-1β::,Wnt-3a::,ICAT::,FIP3::,Raptor::,ChAT::,Fibronectin::,MALAT1::,db::,RILP::,Cdc25C::,Dio2::,Ape1::,eIF-4E-BP1::,WIPI1::,ku70::,GSK3::,dCYLD::,JAM-A::,Chm7::,Caspase 3::,Tbr2::,ORP8::,BMI1::,Cdk1::,EpoR
Q13257|Q9UI95	Mad2::,MAD2
944566	HBx
P10826	rarβ
Q8YAC9	CBD
Q07889	SOS1
P18507	GABAAR γ2::,γ2
14103	FasL::,FASL::,Fasl
24088	TLR2
Q99NH8	rab-10::,Fis1::,SUMO2::,Map1lc3b::,Cdc11::,bi‐1::,E1::,Pin1::,AHCYL2::,SCOC::,Hla::,Tom1L2::,CAMP::,CD16::,EndoH::,atg38::,Lon::,Bak::,γ-tubulin::,Hsp82p::,PA28β::,Dusp5::,FGF5::,Phb2::,PDGFRβ::,Myc::,LGR5::,sti1::,ypt1-1::,Sec61::,Siglec‐14::,Tlr8::,Mapt::,Klf4::,KLF4::,USP9X::,Braf::,Ctnnb1::,IKBα::,OTUB1::,Aβ::,IFNβ::,MCIDAS::,chm::,Dvl::,cGAS::,Ahi1::,IGVLUR::,Dio2::,uPA::,Atg19::,miR-122::,ULK1::,Bcl6::,sur-5::,TBK1::,cycb1;4::,igfbp1a::,gcg::,Tubb3::,IL-8::,MALT1::,SIRT5::,CCNA::,cortactin
72018	FUNDC1
232414	DNGR-1
P35739|Q63604|Q03351	Trk
7421	VDR
P28335	npc1::,dRagC::,Atg16L1::,Atro::,MVP::,dBI‐1::,Gli3::,Fbxo7::,WGA::,phm8::,tyrosine hydroxylase::,Bax::,KSHV‐TK::,H‐2Kb::,NRPE1::,IP3R2::,YAP::,Nurr1::,tenascin C::,MFG-E8::,NKG2D::,ABL1::,miR-10b::,ABCB8::,PCM1::,E2F7::,atpcl::,PRP5::,LIF::,FIP3::,Cx3cr1::,ICP27::,XBP-1::,SEPT6::,junD::,CARD14
Q63932|P47809|Q8CE90|Q9WVS7|O09110|P31938|P70236	MEK
Q8TEV9	SMCR8::,Smcr8
O55003	pep4::,npc1::,daf-15::,TIGAR::,Bnip3::,Beclin1::,VAMP7::,inlK::,LC3A::,casp-1::,Atg4B::,AcCoAS::,pnp1::,lgg‐1::,STIL::,PCDH7::,GC‐G::,miR‐290::,LGR5::,ER::,CACNA1A::,COUP-TFI::,FMR1::,Dcr2::,BNIP3::,TP53INP1::,XRCC4::,rhodopsin::,C7::,PHD1::,IgG2a::,MICA::,synaptobrevin 2::,BRAF::,Tie2::,TET2::,GM130::,p38γ::,Akt2::,chm::,Prp5::,ATAD3::,Stat3::,NDUFB8::,CDC42BPA::,cytochrome b2::,Ifnar1::,ICP27::,Ape1::,S100a4::,mitofusin-2::,NSUN3::,UbE1::,msn4::,Gemc1::,PTPIP51::,Sept7::,Sept2::,Chs5::,Bach1::,CD44
P05881	GP120
Q92667|Q9Y2D5	PrKA
1736	DIC::,UNC‐116::,pho13::,myosin VI::,SQST-1::,PrP::,Xbp1::,VPS35::,CD45.1::,Cx3cr1::,DC-SIGN::,Atp8a2::,LSD1::,CCR9::,ru::,Snai1::,Ttn::,Aβ::,C7::,fkh::,FoxA2::,KIF1C::,CASP1::,LIF::,STING::,β2AR::,TGFβ::,EGOT::,CPAP::,GSDMD::,RNU5D::,MET::,Gpr124
68021	Bphl
Q9H1K1	ISCU1/2
19328	Rab12
Q9NQL2	RagD
P19490	daf-15::,SUMO‐3::,DHPR::,HDAC6::,DHR3::,NRBP2::,GAL1::,Ape1::,ypt7::,TMEM59::,NCAM::,survivin::,PlcA::,Idh2::,Dcp-1::,SesB::,REST::,lap::,AGO4::,Bax::,Twi1p::,TNFa::,PCDH7::,TRAF6::,USP2::,CDC50A::,ATP8A1::,NRBF2::,MDH2::,NFATc1::,Nurr1::,Coq9::,MEK1::,C7::,NRP1::,Ccm1::,KLF4::,pob3::,Abo1::,sec8::,Irf7::,CD45::,PAQR3::,OTUB1::,ABCB8::,Stat1::,PCNT::,Foxj1::,GSK3α::,F2r::,IGF-I::,Yap1::,Trk::,MNase::,H2AX::,Rad23::,ICP27::,Cdc25C::,CAT-1::,PKCB::,Aβ::,GALC::,Atp5g3::,E2F5::,TEX12::,CHS6::,EpoR::,fft2::,CD44::,SYCP3
P61619|Q9H9S3	Sec61α
Q11207	PPCA::,aut2::,npc1::,DRP-1::,DAPK::,TRAIL::,SENP2::,TIGAR::,TNFα::,p38α::,NAF‐1::,HDAC6::,Hmgb1::,vimentin::,TAB3::,POMC::,SCOC::,α-hemolysin::,SQST-1::,CREST::,nestin::,atg‐3::,gba::,SNX18::,CA::,WIPI-1::,β‐catenin::,hNDP52::,Atg19::,REST::,Mcoln1::,TTR::,centrin-2::,cay1::,UPF2::,PNGase F::,Aβ::,Sox9::,Mcm2::,18S::,CDF1::,Dmef2::,p65::,RXRα::,AMPKα::,GC‐G::,USP21::,PERK::,Igf1r::,NAV3::,AGO6::,Dgcr8::,Sec16B::,GM130::,Dlg::,α-spectrin::,IL8::,MDH2::,Shi::,ISCU::,Olfm4::,Bcl2l 11::,IFN-β1::,cyclin D1::,Coq9::,PCBP4::,MEK1::,p48::,Vegfc::,YAP::,AREG::,MICA::,Siglec‐5::,CD11c::,vWF::,Ang-2::,Bmp6::,synaptobrevin 2::,netrin-1::,FRB::,Dyn1::,Lyzs::,OTUB1::,FLS2::,PRP5::,snR81::,TLR2::,IL-12p35::,USP5::,sororin::,eIF4A::,Larp::,PTPσ::,PEN-2::,Munc18-1::,WRNIP1::,HuR::,Pgc1::,PDI::,WIPI1::,ABH1::,ku70::,CenpC::,NTR::,igfbp1a::,STE5::,Ngn1::,HUWE1::,CCNB2::,Clc1::,Chs5::,bud7::,Epo::,Prox1a
851751	hsp42::,Hsp42
Q6ZRQ5	APG5::,DR5::,Fpn::,ire1::,Bak::,Bad::,rab24::,TLN::,p55::,SipB::,bec-1::,vps-34::,ref(2)P::,Buffy::,Dcp-1::,Bruce::,dRagA::,Jumpy::,p38IP::,FYCO1::,BCL‐2::,NAF‐1::,DHPR::,MuRF‐1::,Fis1::,Atg16L1::,cholera toxin::,HMGB1::,Flotillin‐1::,syntaxin 7::,Beclin‐1::,GMR::,Atro::,ft::,yki::,BAG3::,PELP1::,WDR18::,SENP3::,NALP3::,hVps34::,actin::,inlK::,TRAF2::,dBI‐1::,GRASP55::,TAB3::,TAB2::,BCN1::,Pin1::,Tcfeb::,SCOC::,FEZ1::,ULK1::,p17::,Pex11::,OM45::,GAL1::,Src::,Puma::,Bim::,MCUR1::,Rab21::,Sph1::,70S6K::,Sgk1::,TH::,LAMP-2A::,epg-8::,epg-6::,epg-7::,unc-51::,Ubqln4::,RIPK2::,PAT4::,miR-132::,let‐363::,epg‐6::,LC3B::,ROCK1::,XIAP::,CA II::,VAMP3::,Miro::,GlySi::,EXO-3::,ATG16L1::,PlcA::,Fap-1::,ATG16L::,DAPK1::,Pex14::,LC3β::,TCF4::,Atg8p::,OCT::,Phm8::,pnp1::,spns1::,WIPI2b::,SPR-4::,GL1::,Mcoln1::,atg19::,rpt‐3::,TTR::,ddm1::,oxytocin::,GRI::,CDC14::,C-Nap1::,RBM14::,SAS-6::,b3 tubulin::,ZO-1::,Ctns::,Aβ::,AgRP::,Albumin::,PR-SET7::,KSHV‐TK::,CrkII::,spac::,Noc::,TMPRSS2::,NFATc1::,Twi1p::,PA28β::,ATHB2::,Dmef2::,Dusp5::,FXR::,UBE2D1::,SHP1::,THEMIS::,DC-SIGN::,Phb2::,EGF::,EN::,TGF-β::,PrP::,Pkm2::,LGR5::,Wnt4::,Tfn::,CTxB::,TfnR::,EHD1::,ATP8A1::,MVH::,Hsp42::,Sec16A::,UBE4B::,SlpB::,Rag1::,FoxP3::,α-spectrin::,β-spectrin::,P21::,KCNJ3::,FMR1::,Dfmrp::,PD-L1::,Ccno::,Rh1::,Dgcr8::,SND1::,miR-210::,ISCU::,Asm::,VDAC1::,ZEB1::,HES1::,synaptophysin::,Lgr5::,arginase::,TNF::,NE::,Ttn::,RB::,Coq5::,Snc1::,vps21::,Snq2::,pep4::,prb1::,ypt1-1::,XRCC4::,PIK3CA::,Pgk1::,Tsc22d1::,αSma::,Glut4::,Bnp::,Catnb::,caspase-3::,CUL3::,UBE2D3::,p48::,PHD1::,CD31::,VEGF::,Sema3A::,Nsmce2::,CCM3::,LATS1::,E6::,Siglec‐7::,Siglec‐14::,Siglec‐5::,Hsp70::,LacI::,LRRC8D::,Mapt::,FXR2::,dystrophin::,PLCB1::,Pep2::,Pep1::,UnaG::,HIF-1::,Bmp6::,ERK5::,fkh::,Su(H)::,SLFN11::,NANOS2::,APX2::,Irf7::,CD22::,CD45::,CTCF::,TRAPPC4::,GM130::,catalase::,Ecadherin::,KIF1C::,Dyn1::,p38γ::,Lyzs::,PAQR3::,OTUB1::,ABCB8::,VEGF-A::,VMD2::,Msd1::,Stat1::,HlgC::,CDH1::,chm::,WRKY29::,Prp5::,snR81::,TLR2::,USP5::,ICAT::,cyclin D1::,Axin-2::,Wnt3a::,Cyclin D1::,Stat3::,LIF::,SRSF1::,Dvl::,IFT38::,IFT88::,γH2A.X::,PGC-1β::,Pou5f1::,Yap1::,MARK4::,p47::,Ku70::,Rnaseh1::,DAF::,MCP::,FUS::,S6::,NB-3::,INVS::,SIRT7::,Gli1::,Ubp6::,Munc18-1::,p150::,Nemo::,Dgat1::,GADD45β::,GluA1::,α11.2::,β2AR::,SMCR8::,ATXN2::,H2A::,WRNIP1::,ICP27::,Smad2::,CLU::,Cdk1::,uPA::,α2AP::,Plg::,mdm10::,ter1::,Atg19::,RAB2A::,VPS39::,Fstl1::,AKT2::,CD28::,TBX21::,Rab1a::,ADH1::,CXCR5::,CD4::,Pou2af1::,Bcl6::,NavMs::,PDIA1::,mitofusin-2::,Tbk1::,CYCB1;1::,cycb1;1::,FBW7α::,SOX9::,Mef2::,miR-7a-1::,miR-449::,PGK::,CERK1::,NTR::,bactin::,junD::,ACOT7::,ALT::,S100a8::,H4::,ste5::,PNC1::,MCIDAS::,MALT1::,A20::,ABIN-1::,Stag3::,RAD21::,X-chromosomes::,UBQLN4::,ORP8::,ORP5::,CD34::,RUNX1::,Chs5::,Chs3::,Bch1::,GASZ::,ER::,EpoR::,KV10.1::,ATR::,fft3::,miR-10b
Q810J8	DFCP1
Q61769	Beclin::,syntaxin 6::,PS1::,p38α::,NAF‐1::,Bnip3l::,HMGB1::,ft::,ura4::,Rap2b::,myosin VI::,VP3::,epg-7::,SQST-1::,ATG-9::,epg-8::,caspase-1::,Ki67::,WASH::,Lysosomal acid phosphatase::,ERK2::,pS6K::,IFT20::,HACE1::,ACS2::,ach1::,OCT::,VPS35::,FIP200::,lin‐9::,secretagogin::,CRH::,GRI::,Bak::,BACE1::,NF-κB::,Cx3cr1::,Ki-67::,NFATc1::,Mcm2::,β1::,Dusp5::,Ampkα1::,DC-SIGN::,Terc::,Matrin3::,MVH::,KI67::,laminin::,TRA‐1‐81::,α5 integrin::,miR-200c::,cTNT::,Smad6::,CD34::,cyclin A2::,Ccnd1::,Snc1::,PEP4::,UBQLN1::,H19::,CycE::,CUL3::,p48::,VEGF::,TGF-α::,YAP::,LacI::,Mapt::,Snap25::,Syt11::,fkh::,SLFN11::,TRF1::,Irf7::,TRAPPC4::,RIG-I::,IL3::,Beclin1::,miR-10b::,VEGF-A::,NAT10::,E2F8::,snR81::,Prp5::,FoxM1::,Oct4::,XRCC4::,STING::,Munc18-1::,NEMO::,GADD45β::,Rab34::,α11.2::,Cdc25C::,PAI-1::,HuR::,Bos1::,Bcl6::,USP19::,CPAP::,NEDD1::,FGFR1::,bactin::,PolD3::,Mavs::,Sept2::,SIRT5::,S6::,PALB2::,GLI3
Q9CZB0|Q9CQA3|Q8K2B3	succinate dehydrogenase
67426	Adck3::,ADCK3
Q9CQ92	Fis1::,FIS1::,Fis
Q9CR81	TEX12
117332	Rheb::,RheB
Q8CFU8	DOR::,dor::,Dor
855264	mre11::,Mre11::,MRE11
O43623	Snai2::,SNAI2::,SLUG
P55095	gcg
70673	Prdm16
P01580	Beclin::,ferritin::,Bad::,PS1::,TLN::,IFN-γ::,SipB::,let-363::,FIP200::,SQSTM1::,Jumpy::,Nix::,BCL‐2::,HDAC6::,ACC::,epsin 1::,MRLC::,yki::,sav::,Map1lc3b::,TAB3::,UNC‐116::,ATGL::,myosin VI::,Ptch2::,LAMP-2::,LC3B::,LRRK2::,MAD2::,NeuN::,Atg30::,Atg32::,gba::,SH3PX1::,Atg16L1::,SNX18::,Atg18::,Uba1::,Mfn2::,WASH::,Bif-1::,ERK2::,S6K1::,OM45::,Atg19::,pnp1::,NCOA4::,TFEB::,daf‐2::,IL-8::,LAMP-1::,ULK1::,FUNDC1::,Gzmb::,secretagogin::,Bak::,Bax::,Inn1::,Zrf1::,Sox11::,ZO-1::,HA::,AR::,Twi1p::,ATHB2::,AMPKα::,Phb2::,Insr::,Ldha::,PKM2::,GM130::,CDC50A::,VHL::,TFG::,Sec31A::,SlpX::,α-spectrin::,laminin::,dfmr1::,Pdf::,Arf::,STELLA::,Shi::,Rh1::,Asm::,β1 integrin::,VDAC1::,ALDH1A2::,TLR8::,TH::,Pparβ/δ::,IκBα::,BMP4::,Hac1::,ypt1-1::,XRCC4::,Trf1::,UBC::,Tlr9::,UBQLN1::,PI3K::,CCR1::,C7::,Sema3C::,N8::,CUL3::,casp3::,YAP::,IFNγ::,Rab8A::,IL‐8::,DnaK::,TNFα::,LRRC8D::,PTPRN2::,bak1::,DTX::,IFN-y::,CCM1::,SMAD1::,SLFN11::,BRPF1::,net-1::,RSpondin1::,IKBα::,Lyzs::,PAQR3::,KRAS::,Nppb::,VEGF-A::,E2F8::,Prp5::,snR81::,USP5::,ICAT::,Stat3::,IFT38::,MT-CO1::,Esrrb::,Sld3::,Mcm4::,eIF4A::,ChAT::,NB-3::,PSD95::,SIRT7::,Fbxl17::,GADD45β::,giantin::,golgin-97::,uPA::,Plg::,ter1::,VPS41::,lro1::,CXCR5::,Bcl6::,NSUN3::,cycb1;2::,SOX9::,PBL27::,NTR::,GALC::,POLD3::,FOXJ1::,IL-2Rα::,ORP5::,ORP8::,VAPA::,HUWE1::,eNOS::,TP53::,EpoR::,fft2::,Tlk2
P42232|P42230	STAT5
664	Bnip3::,BNIP3
Q23023	UNC-51::,unc-51
P00639	Jumpy::,DOR::,Beclin1::,BAG3::,IL‐1β::,epg-7::,Rab12::,thiolase::,miR-212::,GABARAP::,Bak::,RBM14::,centrin-2::,β-globin::,Aβ::,Sec23::,Yip1A::,Dgcr8::,Catnb::,YAP::,cMyc::,TFE3::,Lyzs::,GemC1::,chm::,VAPB::,bactin::,MALT1::,Prox1a
6136	RPL12
P20163	hsp‐4::,Phsp‐4
947839	aut2Δ::,htt::,SUMO2::,Androgen receptor::,TAB2::,Trp53::,miR-132::,Uba1::,PGL-1::,HACE1::,WIPI2b::,Ki67::,Terc::,RANKL::,Vps15::,PECAM::,Hmg1::,H19::,CD4::,Cyclin E::,RAE::,SLFN11::,AP::,Bip::,HOIP::,junD::,Hcfc2::,PCNA::,miR-10b::,PIK3CA
64862|362245	LC3
Q9CQA3	SDHB
P78423	CX3CL1
